IndicatorCode,Country_Code,Gender,Age_Group,Planning_Value_Rate,FactComments,Language_Code,Starting_Year,Year_Ending,Year_Group,PeriodRangeID
SDGFPALL,UGA,Female,15-49 years,65.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Uganda 2021 PMA Survey Phase 2,EN,2021,2021,2021-2021,1
SDGFPALL,NER,Female,15-49 years,36.9,Niger 2021 PMA Survey Phase 1,EN,2020,2021,2020-2021,1
SDGFPALL,BFA,Female,15-49 years,58.2,Burkina Faso 2021 PMA Survey Phase 2,EN,2020,2021,2020-2021,1
SDGFPALL,VNM,Female,15-49 years,72.1,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Viet Nam 2020-2021 Multiple Indicator Cluster Survey,EN,2020,2021,2020-2021,1
SDGFPALL,CIV,Female,15-49 years,46.1,Côte d'Ivoire 2020 PMA Survey Phase 1,EN,2020,2020,2020-2020,2
SDGFPALL,MDA,Female,15-49 years,59.5,Moldova 2020 Gender and Generations Survey,EN,2020,2020,2020-2020,2
SDGFPALL,ETH,Female,15-49 years,62.6,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Ethiopia 2020 PMA Cross Sectional,EN,2020,2020,2020-2020,2
SDGFPALL,MDG,Female,15-49 years,65.6,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Madagascar 2020 Demographic and Health Survey,EN,2020,2020,2020-2020,2
SDGFPALL,PER,Female,15-49 years,65.9,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Peru 2020 Demographic and Health Survey (Continuous),EN,2020,2020,2020-2020,2
SDGFPALL,KEN,Female,15-49 years,77.1,Kenya 2020 PMA Survey Phase 2,EN,2020,2020,2020-2020,2
SDGFPALL,MRT,Female,15-49 years,22.4,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Contraceptive use excludes male and female sterilization. Mauritania 2019-2020 Demographic and Health Survey,EN,2019,2020,2019-2020,2
SDGFPALL,WSM,Female,15-49 years,27.0,Samoa 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,GMB,Female,15-49 years,41.1,Gambia 2019-2020 Demographic and Health Survey,EN,2019,2020,2019-2020,2
SDGFPALL,TUV,Female,15-49 years,46.2,Tuvalu 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,GUY,Female,15-49 years,46.6,Guyana 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,LBR,Female,15-49 years,47.5,Liberia 2019-2020 Demographic and Health Survey,EN,2019,2020,2019-2020,2
SDGFPALL,PSE,Female,15-49 years,61.0,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. State of Palestine 2019-2020 MICS,EN,2019,2020,2019-2020,2
SDGFPALL,RWA,Female,15-49 years,72.1,Rwanda 2019-2020 Demographic and Health Survey,EN,2019,2020,2019-2020,2
SDGFPALL,MWI,Female,15-49 years,77.3,Malawi 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,ARG,Female,15-49 years,80.3,Argentina 2019-2020 Multiple Indicator Cluster Survey,EN,2019,2020,2019-2020,2
SDGFPALL,TCD,Female,15-49 years,17.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Chad 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,CAF,Female,15-49 years,27.6,Central African Republic 2018-2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,SRB,Female,15-49 years,38.4,Serbia 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,TON,Female,15-49 years,49.9,Tonga 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,SLE,Female,15-49 years,53.0,Sierra Leone 2019 Demographic and Health Survey,EN,2019,2019,2019-2019,2
SDGFPALL,SEN,Female,15-49 years,53.2,Senegal 2019 Demographic and Health Survey,EN,2019,2019,2019-2019,2
SDGFPALL,STP,Female,15-49 years,57.7,Sao Tome and Principe 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,NPL,Female,15-49 years,61.9,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Nepal 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,BLR,Female,15-49 years,66.0,Belarus 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,BGD,Female,15-49 years,77.4,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Bangladesh 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,DOM,Female,15-49 years,77.4,Dominican Republic 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,HND,Female,15-49 years,79.0,Honduras 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,TKM,Female,15-49 years,79.6,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Turkmenistan 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,CUB,Female,15-49 years,86.9,Cuba 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,THA,Female,15-49 years,88.2,Thailand 2019 Multiple Indicator Cluster Survey,EN,2019,2019,2019-2019,2
SDGFPALL,SOM,Female,15-49 years,2.1,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Contraceptive use excludes male and female sterilization. Somalia 2018-2019 Health and Demographic Survey,EN,2018,2019,2018-2019,2
SDGFPALL,MKD,Female,15-49 years,29.6,North Macedonia 2018-2019 Multiple Indicator Cluster Survey,EN,2018,2019,2018-2019,2
SDGFPALL,KIR,Female,15-49 years,53.1,Kiribati 2018-2019 Multiple Indicator Cluster Survey,EN,2018,2019,2018-2019,2
SDGFPALL,GNB,Female,15-49 years,60.0,Guinea-Bissau 2018-2019 Multiple Indicator Cluster Survey,EN,2018,2019,2018-2019,2
SDGFPALL,DZA,Female,15-49 years,66.3,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Algeria 2018-2019 Multiple Indicator Cluster Survey,EN,2018,2019,2018-2019,2
SDGFPALL,ECU,Female,15-49 years,82.5,Ecuador 2018 Encuesta Nacional de Salud y Nutrición,EN,2018,2019,2018-2019,2
SDGFPALL,USA,Female,15-49 years,78.4,Unmet need data do not necessarily correspond to the 2012 DHS definition. United States of America 2017-2019 National Survey of Family Growth,EN,2017,2019,2017-2019,2
SDGFPALL,MNE,Female,15-49 years,32.9,Montenegro 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,NGA,Female,15-49 years,35.6,Nigeria 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,GIN,Female,15-49 years,37.7,Guinea 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,MLI,Female,15-49 years,41.2,Mali 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,CMR,Female,15-49 years,44.9,Cameroon 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,GEO,Female,15-49 years,51.3,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Georgia 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,IRQ,Female,15-49 years,53.8,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Iraq 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,SUR,Female,15-49 years,57.5,Suriname 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,TUR,Female,15-49 years,60.2,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Turkey 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,TUN,Female,15-49 years,62.7,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Tunisia 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,MNG,Female,15-49 years,63.6,Mongolia 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,KGZ,Female,15-49 years,64.6,Kyrgyzstan 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,ZMB,Female,15-49 years,65.9,Zambia 2018 Demographic and Health Survey,EN,2018,2018,2018-2018,2
SDGFPALL,MAR,Female,15-49 years,72.0,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Morocco 2018 Enquête Nationale sur la Population et la Santé Familiale,EN,2018,2018,2018-2018,2
SDGFPALL,KAZ,Female,15-49 years,73.2,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. The fertility intention question used in the calculation of unmet need refers to a three year period instead of a two year period. Kazakhstan 2018 Gender and Generations Survey,EN,2018,2018,2018-2018,2
SDGFPALL,CRI,Female,15-49 years,80.8,Costa Rica 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,LSO,Female,15-49 years,82.8,Lesotho 2018 Multiple Indicator Cluster Survey,EN,2018,2018,2018-2018,2
SDGFPALL,MEX,Female,15-49 years,83.1,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Mexico 2018 Encuesta Nacional de la Dinámica Demográfica,EN,2018,2018,2018-2018,2
SDGFPALL,BEN,Female,15-49 years,28.0,Benin 2017-2018 Demographic and Health Survey,EN,2017,2018,2017-2018,2
SDGFPALL,COD,Female,15-49 years,33.0,Democratic Republic of the Congo 2017-2018 Multiple Indicator Cluster Survey,EN,2017,2018,2017-2018,2
SDGFPALL,GHA,Female,15-49 years,40.4,Ghana 2017-2018 Multiple Indicator Cluster Survey,EN,2017,2018,2017-2018,2
SDGFPALL,PAK,Female,15-49 years,48.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Excluding Azad Jammu and Kashmir and Gilgit Baltistan. Pakistan 2017-2018 Demographic and Health Survey,EN,2017,2018,2017-2018,2
SDGFPALL,JOR,Female,15-49 years,56.7,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Jordan 2017-2018 Demographic and Health Survey,EN,2017,2018,2017-2018,2
SDGFPALL,ALB,Female,15-49 years,6.3,Albania 2017-2018 Demographic and Health Survey,EN,2017,2018,2017-2018,2
SDGFPALL,PNG,Female,15-49 years,49.2,Papua New Guinea 2016-2018 Demographic and Health Survey,EN,2016,2018,2016-2018,2
SDGFPALL,MDV,Female,15-49 years,29.2,Maldives 2016-2017 Demographic and Health Survey,EN,2016,2017,2016-2017,3
SDGFPALL,BDI,Female,15-49 years,39.6,Burundi 2016 Demographic and Health Survey,EN,2016,2017,2016-2017,3
SDGFPALL,HTI,Female,15-49 years,45.4,Haiti 2016-2017 Demographic and Health Survey,EN,2016,2017,2016-2017,3
SDGFPALL,IDN,Female,15-49 years,77.6,Indonesia 2016-2017 PMA2020 Round 2,EN,2016,2017,2016-2017,3
SDGFPALL,TGO,Female,15-49 years,39.6,Togo 2017 Multiple Indicator Cluster Survey,EN,2017,2017,2017-2017,3
SDGFPALL,TJK,Female,15-49 years,52.1,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Tajikistan 2017 Demographic and Health Survey,EN,2017,2017,2017-2017,3
SDGFPALL,PHL,Female,15-49 years,56.0,Philippines 2017 Demographic and Health Survey,EN,2017,2017,2017-2017,3
SDGFPALL,LAO,Female,15-49 years,72.3,Lao People's Democratic Republic 2017 Social Indicator Survey II,EN,2017,2017,2017-2017,3
SDGFPALL,IDN,Female,15-49 years,77.0,Indonesia 2017 Demographic and Health Survey,EN,2017,2017,2017-2017,3
SDGFPALL,SWE,Female,15-49 years,86.7,"Women were identified as having unmet need if they were sexually active, not using contraception, capable of having children, did not have a same-sex partner, and did not want to become pregnant. Sweden 2017 Contraception Survey",EN,2017,2017,2017-2017,3
SDGFPALL,PRK,Female,15-49 years,89.6,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Democratic People's Republic of Korea 2017 Multiple Indicator Cluster Survey,EN,2017,2017,2017-2017,3
SDGFPALL,TLS,Female,15-49 years,45.9,Timor-Leste 2016 Demographic and Health Survey,EN,2016,2016,2016-2016,3
SDGFPALL,BOL,Female,15-49 years,50.3,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Bolivia 2016 Demographic and Health Survey,EN,2016,2016,2016-2016,3
SDGFPALL,LKA,Female,15-49 years,74.3,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Sri Lanka 2016 Demographic and Health Survey (national),EN,2016,2016,2016-2016,3
SDGFPALL,PRY,Female,15-49 years,78.9,Paraguay 2016 Multiple Indicator Cluster Survey,EN,2016,2016,2016-2016,3
SDGFPALL,ZAF,Female,15-49 years,79.7,South Africa 2016 Demographic and Health Survey,EN,2016,2016,2016-2016,3
SDGFPALL,AGO,Female,15-49 years,29.8,Angola 2015-2016 Demographic and Health Survey,EN,2015,2016,2015-2016,3
SDGFPALL,ARM,Female,15-49 years,40.2,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Armenia 2015-16 Demographic and Health Survey,EN,2015,2016,2015-2016,3
SDGFPALL,AFG,Female,15-49 years,42.1,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Afghanistan 2015 Demographic and Health Survey,EN,2015,2016,2015-2016,3
SDGFPALL,TZA,Female,15-49 years,55.1,United Republic of Tanzania 2015-2016 Demographic and Health Survey,EN,2015,2016,2015-2016,3
SDGFPALL,BLZ,Female,15-49 years,64.9,Belize 2015-2016 Multiple Indicator Cluster Survey,EN,2015,2016,2015-2016,3
SDGFPALL,IND,Female,15-49 years,72.8,India 2015-2016 Demographic and Health Survey,EN,2015,2016,2015-2016,3
SDGFPALL,MMR,Female,15-49 years,74.9,Myanmar 2015-2016 Demographic and Health Survey,EN,2015,2016,2015-2016,3
SDGFPALL,COL,Female,15-49 years,86.6,Colombia 2015 Demographic and Health Survey,EN,2015,2016,2015-2016,3
SDGFPALL,SLB,Female,15-49 years,38.0,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Solomon Islands 2015 Demographic and Health Survey,EN,2015,2015,2015-2015,3
SDGFPALL,MOZ,Female,15-49 years,55.5,Mozambique 2015 HIV-AIDS Indicator Survey,EN,2015,2015,2015-2015,3
SDGFPALL,ZWE,Female,15-49 years,84.8,Zimbabwe 2015 Demographic and Health Survey,EN,2015,2015,2015-2015,3
SDGFPALL,COG,Female,15-49 years,43.2,Congo 2014-2015 Multiple Indicator Cluster Survey,EN,2014,2015,2014-2015,3
SDGFPALL,PAN,Female,15-49 years,65.2,Panama 2014-2015 Sexual and Reproductive Health-Survey,EN,2014,2015,2014-2015,3
SDGFPALL,GTM,Female,15-49 years,66.1,Guatemala 2014-2015 Encuesta Nacional de Salud Materno Infantil,EN,2014,2015,2014-2015,3
SDGFPALL,LBY,Female,15-49 years,24.0,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Libya 2014 National Family Health Survey,EN,2014,2014,2014-2014,4
SDGFPALL,SDN,Female,15-49 years,30.2,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Sudan 2014 Multiple Indicator Cluster Survey,EN,2014,2014,2014-2014,4
SDGFPALL,OMN,Female,15-49 years,39.6,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Oman 2014 Multiple Indicator Cluster Survey,EN,2014,2014,2014-2014,4
SDGFPALL,MUS,Female,15-49 years,41.9,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Excluding Island of Rodrigues. Data for Island of Rodigrues are available in report. Mauritius 2014 Contraceptive Prevalence Survey,EN,2014,2014,2014-2014,4
SDGFPALL,KHM,Female,15-49 years,56.5,Cambodia 2014 Demographic and Health Survey,EN,2014,2014,2014-2014,4
SDGFPALL,EGY,Female,15-49 years,80.0,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Egypt 2014 Demographic and Health Survey,EN,2014,2014,2014-2014,4
SDGFPALL,SLV,Female,15-49 years,80.0,El Salvador 2014 MICS,EN,2014,2014,2014-2014,4
SDGFPALL,EST,Female,15-49 years,80.2,Unmet need data do not necessarily correspond to the 2012 DHS definition. Estonia 2014 Health Behavior among Estonian Adult Population,EN,2014,2014,2014-2014,4
SDGFPALL,SWZ,Female,15-49 years,82.9,Eswatini 2014 Multiple Indicator Cluster Survey,EN,2014,2014,2014-2014,4
SDGFPALL,YEM,Female,15-49 years,40.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Yemen 2013 Demographic and Health Survey,EN,2013,2013,2013-2013,4
SDGFPALL,VUT,Female,15-49 years,50.7,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Vanuatu 2013 Demographic and Health Survey,EN,2013,2013,2013-2013,4
SDGFPALL,NAM,Female,15-49 years,80.4,Namibia 2013 Demographic and Health Survey,EN,2013,2013,2013-2013,4
SDGFPALL,COM,Female,15-49 years,28.8,Comoros 2012 Demographic and Health Survey,EN,2012,2012,2012-2012,4
SDGFPALL,GAB,Female,15-49 years,44.0,Gabon 2012 Demographic and Health Survey,EN,2012,2012,2012-2012,4
SDGFPALL,UKR,Female,15-49 years,68.0,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Ukraine 2012 Multiple Indicator Cluster Survey,EN,2012,2012,2012-2012,4
SDGFPALL,QAT,Female,15-49 years,68.9,"The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception. Qatar 2012 Multiple Indicator Cluster Survey",EN,2012,2012,2012-2012,4
SDGFPALL,BRB,Female,15-49 years,70.0,"The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception. Barbados 2012 Multiple Indicator Cluster Survey",EN,2012,2012,2012-2012,4
SDGFPALL,BIH,Female,15-49 years,21.9,"The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception. Bosnia and Herzegovina 2011-2012 Multiple Indicator Cluster Survey",EN,2011,2012,2011-2012,4
SDGFPALL,LCA,Female,15-49 years,72.4,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Saint Lucia 2012 Multiple Indicator Cluster Survey,EN,2011,2012,2011-2012,4
SDGFPALL,NIC,Female,15-49 years,89.8,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Nicaragua 2011-2012 Demographic and Health Survey,EN,2011,2012,2011-2012,4
SDGFPALL,GBR,Female,15-49 years,86.5,Excluding Northern Ireland. Unmet need data do not necessarily correspond to the 2012 DHS definition. United Kingdom 2010-2012 National Survey of Sexual Attitudes and Lifestyles,EN,2010,2012,2010-2012,4
SDGFPALL,GNQ,Female,15-49 years,20.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Equatorial Guinea 2011 Demographic and Health Survey,EN,2011,2011,2011-2011,5
SDGFPALL,TTO,Female,15-49 years,58.2,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Trinidad and Tobago 2011 Multiple Indicator Cluster Survey,EN,2011,2011,2011-2011,5
SDGFPALL,RUS,Female,15-49 years,72.4,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Russian Federation 2011 Reproductive Health Survey,EN,2011,2011,2011-2011,5
SDGFPALL,IRN,Female,15-49 years,68.6,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Iran (Islamic Republic of) 2010 Multiple-Indicator Demographic and Health Survey,EN,2010,2011,2010-2011,5
SDGFPALL,ERI,Female,15-49 years,21.0,Unmet need data do not necessarily correspond to the 2012 DHS definition. Eritrea 2010 Population and Health Survey,EN,2010,2010,2010-2010,5
SDGFPALL,SSD,Female,15-49 years,5.6,"The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception. South Sudan 2010 Household Health Survey Second Round",EN,2010,2010,2010-2010,5
SDGFPALL,BTN,Female,15-49 years,84.6,"The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception. Bhutan 2010 Multiple Indicator Survey",EN,2010,2010,2010-2010,5
SDGFPALL,SYR,Female,15-49 years,53.3,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Unmet need data excluded unwanted births as the survey did not ask whether a child was wanted. Syrian Arab Republic 2009 Family Health Survey,EN,2009,2009,2009-2009,5
SDGFPALL,JAM,Female,15-49 years,82.9,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Jamaica 2008 Reproductive and Health Survey,EN,2008,2009,2008-2009,5
SDGFPALL,CZE,Female,15-49 years,85.7,"The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Contraceptive use excludes male and female sterilization. Unmet need data include fecund women with a partner, not practicing contraception and not wanting additional children or with a current pregnancy that was not wanted or mistimed at conception. Czech Republic 2008 Generations and Gender Survey",EN,2008,2008,2008-2008,6
SDGFPALL,BWA,Female,15-49 years,82.1,Botswana 2007 Family Health Survey - Multiple Indicator Cluster Survey,EN,2007,2008,2007-2008,6
SDGFPALL,NRU,Female,15-49 years,42.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Nauru 2007 Demographic Health Survey (national),EN,2007,2007,2007-2007,6
SDGFPALL,MHL,Female,15-49 years,80.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Marshall Islands 2007 Demographic Health Survey (national),EN,2007,2007,2007-2007,6
SDGFPALL,BRA,Female,15-49 years,89.3,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Brazil 2006-2007 Demographic and Health Survey,EN,2006,2007,2006-2007,6
SDGFPALL,AZE,Female,15-49 years,21.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Azerbaijan 2006 Demographic and Health Survey,EN,2006,2006,2006-2006,6
SDGFPALL,CPV,Female,15-49 years,73.2,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Lactational amenorrhea (LAM) treated as a traditional method. Cape Verde 2005 Demographic and Reproductive Health Survey,EN,2005,2005,2005-2005,7
SDGFPALL,FRA,Female,15-49 years,95.5,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Unmet need data pertain to unmet need for limiting only. France 2005 Enquête du Baromètre Santé,EN,2004,2005,2004-2005,7
SDGFPALL,ROU,Female,15-49 years,46.5,"The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Unmet need data pertain to fecund married women, currently sexually active, currently exposed to the risk of pregnancy, not wanting to become pregnant, and not using a method of contraception other than folk methods, douches, breastfeeding or lactational amenorrhea (LAM). Unmet need data exclude women who are currently pregnant, currently seeking to become pregnant, subfecund, or who are not sexually active, including women practicing post-partum abstinence. Romania 2004 Reproductive and Health Survey",EN,2004,2004,2004-2004,7
SDGFPALL,CHN,Female,15-49 years,96.6,"The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union. Unmet need data include women who were not using contraception because of unavailability of methods or fear of side effects. Unmet need data exclude women who are not using a method of contraception due to being separated, sterile, ill, breastfeeding or pregnant, or trying to get pregnant. China 2001 National Family Planning and Reproductive Health Survey",EN,2001,2001,2001-2001,8
